col,X,Y,row,elevation,system:index
4871,699102.8877924071,186780.4458126684,174,22.245539,0_0
4871,699102.8877924071,186780.4458126684,174,22.245539,1_0
4872,699105.8874190656,186780.4458126684,174,22.477032,2_0
4870,699099.8881657487,186777.44618600988,175,22.245539,3_0
4873,699108.8870457241,186780.4458126684,174,22.477032,4_0
4869,699096.8885390902,186777.44618600988,175,22.403954,5_0
4874,699111.8866723826,186780.4458126684,174,22.477032,6_0
4868,699093.8889124317,186777.44618600988,175,22.403954,7_0
4868,699093.8889124317,186777.44618600988,175,22.403954,8_0
4875,699114.886299041,186780.4458126684,174,22.682371,9_0
4876,699117.8859256995,186780.4458126684,174,22.682371,10_0
4876,699117.8859256995,186780.4458126684,174,22.682371,11_0
4867,699090.8892857733,186774.44655935143,176,22.403954,12_0
4876,699117.8859256995,186777.44618600988,175,22.682371,13_0
4866,699087.8896591148,186774.44655935143,176,22.450136,14_0
4865,699084.8900324563,186774.44655935143,176,22.450136,15_0
4877,699120.885552358,186774.44655935143,176,22.682371,16_0
4877,699120.885552358,186774.44655935143,176,22.682371,17_0
4864,699081.8904057977,186774.44655935143,176,22.450136,18_0
4864,699081.8904057977,186774.44655935143,176,22.450136,19_0
4878,699123.8851790164,186771.44693269292,177,22.343332,20_0
4863,699078.8907791394,186771.44693269292,177,22.242367,21_0
4879,699126.8848056749,186771.44693269292,177,22.343332,22_0
4879,699126.8848056749,186771.44693269292,177,22.343332,23_0
4862,699075.8911524808,186771.44693269292,177,22.242367,24_0
4862,699075.8911524808,186771.44693269292,177,22.242367,25_0
4880,699129.8844323334,186768.44730603448,178,22.343332,26_0
4861,699072.8915258223,186768.44730603448,178,22.327902,27_0
4881,699132.8840589919,186768.44730603448,178,22.838306,28_0
4860,699069.891899164,186768.44730603448,178,22.327902,29_0
4882,699135.8836856503,186768.44730603448,178,22.838306,30_0
4882,699135.8836856503,186768.44730603448,178,22.838306,31_0
4859,699066.8922725054,186768.44730603448,178,22.327902,32_0
4883,699138.8833123088,186765.447679376,179,23.113781,33_0
